"","f.fom.n","h.seti.n","h.seti.s","l.carib.s","l.conif.n","l.crin.s","l.gilb.s","l.huron.n","m.trem.n","m.trem.s","p.flav.n","p.flav.s","p.gilv.n","p.har.n","p.pend.n","p.robin.n","p.rufa.acer.n","p.rufa.acer.s","p.sang.s","s.comm.s","p.robin.s","h.crust.n","a.gal1.s","a.gal10.n","a.gal2.s","a.gal3.s","a.gal9.n","a.sin.n","a.tab.s","m.meri.s","x.sub.s","a.tab.n","a.gal8.n","a.gal5.s","a.gal6.n","s.comm.n","t.chion.n"
"f.fom.n",NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
"h.seti.n",0.5,NA,NA,0.5,0.5,0.5,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.5,NA,1,1,1,0,0
"h.seti.s",0.5,NA,NA,0.5,1,0.5,1,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,NA,NA,NA,1,1,NA,NA,NA,1,0.5,NA,1,1,NA,NA,0,0.5
"l.carib.s",0.5,0.5,0.5,NA,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
"l.conif.n",0.5,0.5,0,0.5,NA,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5
"l.crin.s",0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0.5,0.5,0,0,0,1,0.5,0,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,1,1,1,0.5,0.5
"l.gilb.s",0.5,0,0,0.5,0.5,0.5,NA,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0
"l.huron.n",0.5,0,0.5,0,1,0.5,0,NA,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0
"m.trem.n",0.5,0,0.5,0.5,1,0.5,0.5,1,NA,NA,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,0.5,1,0,0.5
"m.trem.s",0.5,1,1,0.5,0.5,1,0.5,1,NA,NA,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,NA,1,NA,1,0.5
"p.flav.n",0.5,1,0.5,0.5,0.5,0,0.5,0.5,0,0,NA,NA,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0.5,1,1,1,1,1,0.5,1,0,0.5,0.5,1,0.5,1,0.5,0
"p.flav.s",1,1,1,0.5,0.5,0.5,1,1,0.5,0.5,NA,NA,0.5,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5
"p.gilv.n",0.5,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0.5
"p.har.n",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,0.5,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"p.pend.n",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"p.robin.n",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,0,0.5,0.5,0.5,NA,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0
"p.rufa.acer.n",1,1,1,0.5,1,1,1,1,0.5,0.5,1,0,1,1,1,1,NA,NA,0.5,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5
"p.rufa.acer.s",1,0.5,1,1,1,1,0.5,1,0.5,1,1,0,1,1,1,0.5,NA,NA,0.5,1,1,0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5
"p.sang.s",1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0
"s.comm.s",1,0.5,1,0.5,1,0,0.5,0.5,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,NA,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,NA,0.5
"p.robin.s",0.5,0,NA,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,NA,0,0,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,1,0.5,0
"h.crust.n",1,0,NA,0.5,0.5,1,1,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5
"a.gal1.s",0.5,0,NA,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0
"a.gal10.n",0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0.5,0,0.5,0.5,NA,NA,NA,0.5,0
"a.gal2.s",0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0.5
"a.gal3.s",0.5,0,NA,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0.5
"a.gal9.n",1,0,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0
"a.sin.n",0.5,0,NA,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,NA,NA,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"a.tab.s",0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5,0,0
"m.meri.s",0.5,0,0.5,0.5,1,1,0.5,1,0,0.5,1,0,1,0.5,0.5,0,0,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,NA,0.5,0.5,0.5,0.5,0.5,0,0.5
"x.sub.s",0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5
"a.tab.n",0.5,NA,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5
"a.gal8.n",0.5,0,0,0.5,0.5,0,0.5,0.5,0,NA,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0
"a.gal5.s",0.5,0,NA,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0.5
"a.gal6.n",0.5,0,NA,0.5,0.5,0,0.5,0.5,0,NA,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5,0
"s.comm.n",1,1,1,1,1,0.5,1,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,NA,NA
"t.chion.n",0.5,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,1,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,NA,NA
